信号链ID,部件类型,部件名称,形状,坐标,数据键,链接
0001,ADC,adc_241f6396-2aab-fd70-1434-4d981b723440,poly,"97,407,77,426,97,445,143,445,143,407",0,#
0001,ADC驱动器,adc-driver_57acd3b2-7b90-9675-66c8-7a38757be315,poly,"186,426,223,447,223,404",1,#
0001,放大器,amp_5242f4f7-c55f-6307-9578-ddf7d95f46a1,poly,"187,199,187,242,224,221",2,#
0001,时钟缓冲器,clock-buffer_3f8d2681-7726-f92a-9ded-af8bb497c697,poly,"398,288,398,321,426,305",3,#
0001,时钟缓冲器,clock-buffer_5b6d9446-b5bc-6fe3-5946-6ffc5e99f1ab,poly,"167,346,167,379,195,363",4,#
0001,DAC,dac_ba65b1ca-f1f5-0269-a3dd-a2dfcbd31fb3,poly,"95,201,95,239,141,239,161,220,141,201",5,#
0001,直接数字频率合成器,dds_5b9a1263-c64d-c718-48f8-9b84c556bf59,rect,"446,290,506,318",6,#
0001,低噪声放大器,lna_a17f30cd-20b3-216a-f9f2-78748f8f77ac,poly,"624,425,661,446,661,403",7,#
0001,对数放大器检测器,log-amp-detectors_dcd22c49-14f8-22a2-91d0-b0e8a8c7243c,rect,"734,313,814,350",8,#
0001,混频器,mixer_4ac474b6-e8e7-a908-caa7-23de70039678,rect,"557,206,582,231",9,#
0001,混频器,mixer_58a50daa-a64b-2b36-8ce9-b702be069df2,rect,"366,209,391,234",10,#
0001,混频器,mixer_8987c607-5d62-80b7-6d60-f565d22ec74b,rect,"559,414,584,439",11,#
0001,混频器,mixer_f947f088-8079-0906-aa52-840e4cb719e0,rect,"367,416,392,441",12,#
0001,电机控制,motor-control_fdab032f-496c-2ae1-3044-78faad1f0897,rect,"688,104,768,141",13,#
0001,锁相环,pll_7a640e85-76c8-babd-3a1e-a52bf3c81259,rect,"208,348,268,376",14,#
0001,电源管理,power-management_6c293130-2e2a-e4e0-a71f-fb714c3b0749,rect,"524,477,624,514",15,#
0001,参考时钟,ref-clk_4286b930-9019-512c-2508-0131977718af,rect,"80,296,160,333",16,#
0001,RF/IF放大器,rf-if-amp_c00eb80f-6d80-3e3c-24ae-3d611c61f3ea,poly,"420,426,457,447,457,404",17,#
0001,RF/IF放大器,rf-if-amp_d8fe9bfb-d0c0-acb9-db51-6d315109d827,poly,"608,197,608,240,645,219",18,#
0001,RF/IF放大器,rf-if-amp_f9afaacc-1f9d-13ff-2b10-7dc1d1a8dec6,poly,"408,198,408,241,445,220",19,#
0001,视频处理,video--processing_14eca9d6-0af2-e723-a0c2-f5714c98fa20,rect,"83,476,183,513",20,#
